Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,54.21,0.4496,14.99
0.166666,54.20,0.4496,14.99
0.249999,54.20,0.4496,14.99
0.333332,54.42,0.4507,15.02
0.416665,55.46,0.4529,15.10
0.499998,57.43,0.4551,15.17
0.583331,59.99,0.4574,15.25
0.666664,63.18,0.4595,15.32
0.749997,66.78,0.4616,15.39
0.833330,70.09,0.4638,15.46
0.916663,73.07,0.4659,15.53
0.999996,75.99,0.4680,15.60
1.083329,78.68,0.4702,15.67
1.166662,81.09,0.4722,15.74
1.249995,82.97,0.4743,15.81
1.333328,84.32,0.4763,15.88
1.416661,85.15,0.4784,15.95
1.499994,85.55,0.4805,16.02
1.583327,85.63,0.4826,16.09
1.666660,85.67,0.4847,16.16
1.749993,85.68,0.4867,16.22
1.833326,85.68,0.4887,16.29
1.916659,85.67,0.4908,16.36
1.999992,85.65,0.4929,16.43
2.083325,85.65,0.4950,16.50
2.166658,85.64,0.4971,16.57
2.249991,85.64,0.4991,16.64
2.333324,85.66,0.5012,16.71
2.416657,85.67,0.5032,16.77
2.499990,85.67,0.5053,16.84
2.583323,85.69,0.5074,16.91
2.666656,85.69,0.5095,16.98
2.749989,85.69,0.5116,17.05
2.833322,85.68,0.5136,17.12
2.916655,85.66,0.5156,17.19
2.999988,85.65,0.5178,17.26
3.083321,85.63,0.5198,17.33
3.166654,85.60,0.5219,17.40
3.249987,85.63,0.5240,17.47
3.333320,85.71,0.5260,17.53
3.416653,85.79,0.5280,17.60
3.499986,85.88,0.5301,17.67
3.583319,85.98,0.5322,17.74
3.666652,86.02,0.5343,17.81
3.749985,86.04,0.5364,17.88
3.833318,86.04,0.5384,17.95
3.916651,86.07,0.5404,18.01
3.999984,86.11,0.5425,18.08
4.083317,86.16,0.5446,18.15
4.166650,86.24,0.5467,18.22
4.249983,86.31,0.5488,18.29
4.333316,86.37,0.5508,18.36
4.416649,86.46,0.5529,18.43
4.499982,86.51,0.5550,18.50
4.583315,86.52,0.5571,18.57
4.666648,86.55,0.5591,18.64
4.749981,86.57,0.5612,18.71
4.833314,86.58,0.5633,18.78
4.916647,86.59,0.5652,18.84
4.999980,86.60,0.5673,18.91
5.083313,86.60,0.5695,18.98
5.166646,86.59,0.5716,19.05
5.249979,86.59,0.5736,19.12
5.333312,86.59,0.5757,19.19
5.416645,86.57,0.5777,19.26
5.499978,86.56,0.5797,19.32
5.583311,86.56,0.5819,19.40
5.666644,86.54,0.5840,19.47
5.749977,86.52,0.5860,19.53
5.833310,86.52,0.5881,19.60
5.916643,86.50,0.5901,19.67
5.999976,86.48,0.5922,19.74
6.083309,86.48,0.5943,19.81
6.166642,86.46,0.5964,19.88
6.249975,86.42,0.5985,19.95
6.333308,86.39,0.6005,20.02
6.416641,86.35,0.6025,20.08
6.499974,86.32,0.6046,20.15
6.583307,86.35,0.6068,20.23
6.666640,86.50,0.6089,20.30
6.749973,86.82,0.6109,20.36
6.833306,87.54,0.6130,20.43
6.916639,88.86,0.6150,20.50
6.999972,90.74,0.6171,20.57
7.083305,93.16,-0.01076,-0.3586
7.166638,96.32,-0.006855,-0.2285
7.249971,100.2,-0.004232,-0.1411
7.333304,103.8,-0.003503,-0.1168
7.416637,106.9,-0.003083,-0.1028
7.499970,109.3,-0.002865,-0.09550
7.583303,110.8,-0.002647,-0.08823
7.666636,111.1,-0.002500,-0.08333
7.749969,111.1,-0.002400,-0.08000
7.833302,111.1,-0.002200,-0.07333
7.916635,111.1,-0.002175,-0.07250
7.999968,111.1,-0.002100,-0.07000
8.083301,111.1,-0.002000,-0.06667
8.166634,111.1,-0.001921,-0.06404
8.249967,111.1,-0.001900,-0.06333
8.333300,111.1,-0.001800,-0.06000
8.416633,111.1,-0.001767,-0.05891
8.499966,111.1,-0.001700,-0.05667
8.583299,111.1,-0.001700,-0.05667
8.666632,111.3,-0.0009075,-0.03025
8.749965,112.0,0.0009134,0.03045
8.833298,113.9,0.003081,0.1027
8.916631,116.7,0.005148,0.1716
8.999964,120.1,0.007264,0.2421
9.083297,124.3,0.009315,0.3105
9.166630,128.3,0.01135,0.3783
9.249963,132.1,0.01332,0.4439
9.333296,135.9,0.01549,0.5162
9.416629,139.7,0.01756,0.5852
9.499962,143.6,0.01969,0.6563
9.583295,147.6,0.02174,0.7247
9.666628,151.6,0.02369,0.7896
9.749961,155.7,0.02573,0.8577
9.833294,159.7,0.02789,0.9297
9.916627,163.9,0.02996,0.9986
9.999960,168.2,0.03208,1.069
10.083293,172.6,0.03419,1.140
10.166626,177.0,0.03617,1.206
10.249959,181.5,0.03813,1.271
10.333292,186.0,0.04029,1.343
10.416625,190.6,0.04241,1.414
10.499958,195.3,0.04453,1.484
10.583291,200.0,0.04660,1.553
10.666624,204.7,0.04858,1.619
10.749957,209.2,0.05063,1.688
10.833290,213.5,0.05270,1.757
10.916623,218.1,0.05483,1.828
10.999956,222.7,0.05693,1.898
11.083289,227.5,0.05901,1.967
11.166622,232.6,0.06107,2.036
11.249955,237.8,0.06304,2.101
11.333288,243.0,0.06506,2.169
11.416621,248.2,0.06723,2.241
11.499954,253.4,0.06934,2.311
11.583287,258.8,0.07151,2.384
11.666620,264.1,0.07353,2.451
11.749953,269.4,0.07554,2.518
11.833286,274.8,0.07760,2.587
11.916619,280.2,0.07976,2.659
11.999952,285.6,0.08182,2.727
12.083285,291.1,0.08394,2.798
12.166618,296.8,0.08599,2.866
12.249951,302.4,0.08804,2.935
12.333284,308.0,0.09002,3.001
12.416617,313.7,0.09218,3.073
12.499950,319.4,0.09425,3.142
12.583283,325.2,0.09636,3.212
12.666616,331.1,0.09848,3.283
12.749949,337.0,0.1004,3.348
12.833282,342.9,0.1025,3.417
12.916615,348.8,0.1046,3.488
12.999948,354.7,0.1067,3.557
13.083281,360.7,0.1088,3.627
13.166614,366.8,0.1109,3.696
13.249947,372.9,0.1129,3.765
13.333280,379.0,0.1149,3.830
13.416613,385.1,0.1170,3.900
13.499946,391.3,0.1191,3.970
13.583279,397.4,0.1212,4.041
13.666612,403.6,0.1233,4.110
13.749945,409.9,0.1254,4.178
13.833278,416.2,0.1274,4.246
13.916611,422.4,0.1295,4.315
13.999944,428.8,0.1315,4.383
14.083277,435.1,0.1336,4.454
14.166610,441.5,0.1357,4.523
14.249943,448.0,0.1378,4.592
14.333276,454.5,0.1398,4.659
14.416609,460.9,0.1419,4.729
14.499942,467.5,0.1439,4.797
14.583275,474.0,0.1460,4.868
14.666608,480.6,0.1481,4.937
14.749941,487.2,0.1502,5.007
14.833274,493.9,0.1522,5.074
14.916607,500.6,0.1543,5.142
14.999940,507.4,0.1564,5.212
15.083273,514.1,0.1584,5.281
15.166606,520.9,0.1604,5.348
15.249939,527.7,0.1626,5.419
15.333272,534.5,0.1646,5.487
15.416605,541.3,0.1667,5.556
15.499938,548.1,0.1688,5.626
15.583271,555.0,0.1708,5.695
15.666604,562.0,0.1729,5.764
15.749937,569.0,0.1750,5.832
15.833270,576.0,0.1770,5.901
15.916603,583.0,0.1791,5.969
15.999936,590.1,0.1811,6.038
16.083269,597.1,0.1832,6.106
16.166602,604.2,0.1853,6.177
16.249935,611.4,0.1874,6.246
16.333268,618.6,0.1894,6.314
16.416601,625.7,0.1915,6.382
16.499934,632.8,0.1935,6.450
16.583267,640.0,0.1956,6.521
16.666600,647.1,0.1977,6.591
16.749933,654.4,0.1998,6.659
16.833266,661.7,0.2019,6.731
16.916599,668.9,0.2039,6.797
16.999932,676.2,0.2060,6.866
17.083265,683.4,0.2082,6.938
17.166598,690.7,0.2102,7.006
17.249931,698.0,0.2123,7.076
17.333264,705.3,0.2143,7.144
17.416597,712.6,0.2163,7.210
17.499930,719.8,0.2184,7.280
17.583263,727.1,0.2206,7.352
17.666596,734.4,0.2226,7.419
17.749929,741.8,0.2247,7.490
17.833262,749.1,0.2268,7.559
17.916595,756.3,0.2287,7.624
17.999928,763.5,0.2308,7.695
18.083261,770.7,0.2330,7.766
18.166594,778.0,0.2350,7.835
18.249927,785.2,0.2371,7.904
18.333260,792.5,0.2392,7.972
18.416593,799.8,0.2412,8.040
18.499926,806.8,0.2433,8.109
18.583259,813.9,0.2454,8.179
18.666592,821.0,0.2474,8.248
18.749925,828.0,0.2496,8.320
18.833258,835.1,0.2516,8.386
18.916591,842.1,0.2536,8.455
18.999924,848.9,0.2556,8.521
19.083257,855.6,0.2577,8.590
19.166590,862.3,0.2598,8.661
19.249923,868.9,0.2619,8.730
19.333256,875.6,0.2640,8.801
19.416589,882.2,0.2660,8.868
19.499922,888.7,0.2680,8.934
19.583255,895.0,0.2701,9.003
19.666588,901.3,0.2723,9.077
19.749921,907.5,0.2744,9.146
19.833254,913.5,0.2765,9.215
19.916587,919.6,0.2785,9.283
19.999920,925.3,0.2805,9.350
20.083253,930.9,0.2825,9.417
20.166586,936.3,0.2847,9.490
20.249919,941.5,0.2868,9.559
20.333252,946.6,0.2889,9.629
20.416585,951.6,0.2909,9.697
20.499918,956.2,0.2929,9.764
20.583251,960.6,0.2949,9.830
20.666584,964.8,0.2971,9.903
20.749917,968.7,0.2991,9.972
20.833250,972.4,0.3013,10.04
20.916583,975.8,0.3033,10.11
20.999916,979.0,0.3053,10.18
21.083249,981.9,0.3073,10.24
21.166582,984.5,0.3094,10.31
21.249915,987.0,0.3115,10.38
21.333248,989.3,0.3137,10.46
21.416581,991.4,0.3157,10.52
21.499914,993.3,0.3177,10.59
21.583247,994.8,0.3198,10.66
21.666580,996.1,0.3218,10.73
21.749913,997.3,0.3240,10.80
21.833246,998.3,0.3261,10.87
21.916579,999.1,0.3282,10.94
21.999912,999.7,0.3302,11.01
22.083245,1000,0.3322,11.07
22.166578,1000,0.3343,11.14
22.249911,1000,0.3364,11.21
22.333244,1000,0.3385,11.28
22.416577,1000,0.3406,11.35
22.499910,1000,0.3427,11.42
22.583243,999.5,0.3447,11.49
22.666576,998.9,0.3467,11.56
22.749909,998.3,0.3489,11.63
22.833242,997.5,0.3510,11.70
22.916575,996.8,0.3531,11.77
22.999908,996.0,0.3552,11.84
23.083241,995.1,0.3571,11.90
23.166574,994.1,0.3592,11.97
23.249907,993.1,0.3613,12.04
23.333240,992.1,0.3634,12.11
23.416573,991.1,0.3655,12.18
23.499906,990.1,0.3676,12.25
23.583239,988.9,0.3696,12.32
23.666572,987.7,0.3716,12.39
23.749905,986.5,0.3737,12.46
23.833238,985.2,0.3758,12.53
23.916571,983.9,0.3779,12.60
23.999904,982.7,0.3800,12.67
24.083237,981.4,0.3820,12.73
24.166570,979.9,0.3840,12.80
24.249903,978.5,0.3861,12.87
24.333236,977.0,0.3882,12.94
24.416569,975.5,0.3903,13.01
24.499902,974.1,0.3924,13.08
24.583235,972.6,0.3944,13.15
24.666568,971.0,0.3964,13.21
24.749901,969.4,0.3985,13.28
24.833234,967.9,0.4006,13.35
24.916567,966.3,0.4027,13.42
24.999900,964.7,0.4048,13.49
25.083233,963.1,0.4069,13.56
25.166566,961.4,0.4089,13.63
25.249899,959.6,0.4110,13.70
25.333232,957.9,0.4130,13.77
25.416565,956.2,0.4151,13.84
25.499898,954.6,0.4172,13.91
25.583231,952.9,0.4193,13.98
25.666564,951.1,0.4213,14.04
25.749897,949.3,0.4233,14.11
25.833230,947.5,0.4254,14.18
25.916563,945.8,0.4275,14.25
25.999896,944.0,0.4296,14.32
26.083229,942.3,0.4317,14.39
