Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,50.16,0.01190,0.3967
0.166666,50.16,0.01190,0.3967
0.249999,50.13,0.01190,0.3967
0.333332,50.22,0.01276,0.4253
0.416665,50.84,0.01485,0.4951
0.499998,52.17,0.01697,0.5657
0.583331,54.00,0.01922,0.6408
0.666664,56.26,0.02140,0.7134
0.749997,58.81,0.02362,0.7873
0.833330,61.15,0.02573,0.8578
0.916663,63.22,0.02785,0.9283
0.999996,65.12,0.02981,0.9938
1.083329,66.95,0.03188,1.063
1.166662,68.75,0.03407,1.136
1.249995,70.51,0.03616,1.205
1.333328,72.23,0.03823,1.274
1.416661,73.92,0.04032,1.344
1.499994,75.53,0.04233,1.411
1.583327,77.05,0.04438,1.479
1.666660,78.49,0.04654,1.551
1.749993,79.72,0.04868,1.623
1.833326,80.66,0.05072,1.691
1.916659,81.35,0.05282,1.761
1.999992,81.82,0.05483,1.828
2.083325,82.02,0.05687,1.896
2.166658,82.13,0.05892,1.964
2.249991,82.20,0.06110,2.037
2.333324,82.27,0.06322,2.107
2.416657,82.34,0.06526,2.175
2.499990,82.41,0.06726,2.242
2.583323,82.46,0.06923,2.308
2.666656,82.50,0.07138,2.379
2.749989,82.52,0.07350,2.450
2.833322,82.52,0.07561,2.520
2.916655,82.52,0.07764,2.588
2.999988,82.53,0.07969,2.656
3.083321,82.56,0.08166,2.722
3.166654,82.59,0.08378,2.793
3.249987,82.63,0.08589,2.863
3.333320,82.67,0.08801,2.934
3.416653,82.71,0.09013,3.004
3.499986,82.74,0.09211,3.070
3.583319,82.77,0.09416,3.139
3.666652,82.79,0.09618,3.206
3.749985,82.81,0.09834,3.278
3.833318,82.83,0.1004,3.347
3.916651,82.86,0.1025,3.417
3.999984,82.89,0.1046,3.486
4.083317,82.92,0.1066,3.552
4.166650,82.95,0.1086,3.621
4.249983,82.98,0.1107,3.689
4.333316,83.00,0.1128,3.760
4.416649,83.03,0.1149,3.831
4.499982,83.05,0.1169,3.898
4.583315,83.07,0.1190,3.967
4.666648,83.09,0.1211,4.035
4.749981,83.11,0.1231,4.104
4.833314,83.13,0.1252,4.173
4.916647,83.16,0.1273,4.244
4.999980,83.19,0.1294,4.314
5.083313,83.22,0.1314,4.381
