Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,17.52,0.000,0.000
0.166666,17.52,0.000,0.000
0.249999,17.52,0.000,0.000
0.333332,17.58,0.0005881,0.01960
0.416665,18.03,0.002487,0.08290
0.499998,19.08,0.004729,0.1576
0.583331,20.64,0.006971,0.2324
0.666664,22.71,0.009158,0.3053
0.749997,25.15,0.01133,0.3777
0.833330,27.64,0.01350,0.4500
0.916663,30.04,0.01560,0.5199
0.999996,32.31,0.01770,0.5900
1.083329,34.50,0.01983,0.6609
1.166662,36.66,0.02199,0.7329
1.249995,38.75,0.02407,0.8022
1.333328,40.81,0.02613,0.8710
1.416661,42.87,0.02817,0.9389
1.499994,44.89,0.03023,1.008
1.583327,46.91,0.03235,1.078
1.666660,48.92,0.03452,1.151
1.749993,50.93,0.03658,1.219
1.833326,52.93,0.03867,1.289
1.916659,54.90,0.04069,1.356
1.999992,56.85,0.04275,1.425
2.083325,58.79,0.04484,1.495
2.166658,60.74,0.04702,1.567
2.249991,62.70,0.04910,1.637
2.333324,64.69,0.05118,1.706
2.416657,66.72,0.05326,1.775
2.499990,68.77,0.05525,1.842
2.583323,70.81,0.05734,1.911
2.666656,72.86,0.05951,1.984
2.749989,74.89,0.06159,2.053
2.833322,76.86,0.06373,2.124
2.916655,78.78,0.06578,2.193
2.999988,80.51,0.06775,2.258
3.083321,81.87,0.06983,2.328
3.166654,82.83,0.07200,2.400
3.249987,83.39,0.07409,2.470
3.333320,83.61,0.07622,2.541
3.416653,83.58,0.07825,2.608
3.499986,83.53,0.08032,2.677
3.583319,83.47,0.08238,2.746
3.666652,83.45,0.08453,2.818
3.749985,83.43,0.08665,2.888
3.833318,83.43,0.08876,2.959
3.916651,83.44,0.09084,3.028
3.999984,83.44,0.09284,3.095
4.083317,83.45,0.09490,3.163
4.166650,83.46,0.09700,3.233
4.249983,83.47,0.09917,3.306
4.333316,83.43,0.1013,3.375
4.416649,83.41,0.1033,3.445
4.499982,83.41,0.1053,3.511
4.583315,83.41,0.1074,3.580
4.666648,83.42,0.1096,3.652
4.749981,83.47,0.1117,3.722
4.833314,83.52,0.1138,3.792
4.916647,83.56,0.1158,3.861
4.999980,83.63,0.1178,3.927
5.083313,83.72,0.1199,3.997
5.166646,83.81,0.1219,4.064
5.249979,83.90,0.1241,4.137
5.333312,83.96,0.1262,4.207
5.416645,83.98,0.1283,4.278
5.499978,84.01,0.1304,4.346
5.583311,84.04,0.1324,4.413
5.666644,84.10,0.1344,4.481
5.749977,84.19,0.1366,4.553
5.833310,84.28,0.1387,4.622
5.916643,84.38,0.1408,4.694
5.999976,84.46,0.1429,4.763
