Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,39.90,0.07020,2.340
0.166666,39.89,0.07020,2.340
0.249999,39.86,0.07025,2.342
0.333332,40.08,0.07127,2.376
0.416665,41.04,0.07331,2.444
0.499998,42.75,0.07560,2.520
0.583331,45.05,0.07779,2.593
0.666664,47.84,0.08000,2.667
0.749997,50.86,0.08212,2.737
0.833330,53.56,0.08425,2.808
0.916663,55.93,0.08634,2.878
0.999996,58.23,0.08850,2.950
1.083329,60.43,0.09061,3.020
1.166662,62.62,0.09270,3.090
1.249995,64.80,0.09473,3.158
1.333328,67.03,0.09679,3.226
1.416661,69.22,0.09884,3.295
1.499994,71.47,0.1009,3.365
1.583327,73.69,0.1030,3.434
1.666660,75.85,0.1051,3.504
1.749993,77.88,0.1072,3.574
1.833326,79.75,0.1092,3.639
1.916659,81.25,0.1113,3.709
1.999992,82.35,0.1134,3.778
2.083325,83.12,0.1155,3.849
2.166658,83.56,0.1175,3.917
2.249991,83.77,0.1196,3.987
2.333324,83.87,0.1216,4.054
2.416657,83.93,0.1236,4.121
2.499990,83.98,0.1257,4.190
2.583323,84.01,0.1278,4.261
2.666656,84.05,0.1299,4.329
2.749989,84.10,0.1321,4.402
2.833322,84.14,0.1341,4.469
2.916655,84.18,0.1361,4.536
2.999988,84.22,0.1382,4.605
3.083321,84.25,0.1403,4.675
3.166654,84.27,0.1423,4.744
3.249987,84.29,0.1444,4.814
3.333320,84.29,0.1464,4.882
3.416653,84.30,0.1485,4.950
3.499986,84.30,0.1506,5.020
3.583319,84.30,0.1527,5.089
3.666652,84.32,0.1548,5.159
3.749985,84.40,0.1568,5.227
3.833318,84.49,0.1589,5.296
3.916651,84.59,0.1609,5.363
3.999984,84.68,0.1630,5.433
4.083317,84.76,0.1651,5.504
4.166650,84.79,0.1672,5.572
4.249983,84.80,0.1692,5.641
4.333316,84.82,0.1713,5.709
4.416649,84.84,0.1734,5.778
4.499982,84.86,0.1754,5.845
4.583315,84.89,0.1775,5.916
4.666648,84.93,0.1796,5.986
4.749981,84.97,0.1817,6.055
4.833314,85.02,0.1837,6.123
4.916647,85.07,0.1857,6.190
4.999980,85.12,0.1878,6.260
5.083313,85.20,0.1899,6.331
5.166646,85.27,0.1920,6.400
5.249979,85.34,0.1940,6.468
5.333312,85.40,0.1961,6.537
5.416645,85.44,0.1981,6.604
5.499978,85.46,0.2002,6.672
5.583311,85.46,0.2023,6.743
5.666644,85.48,0.2044,6.814
5.749977,85.49,0.2065,6.883
5.833310,85.51,0.2086,6.952
5.916643,85.53,0.2106,7.021
5.999976,85.55,0.2125,7.085
6.083309,85.56,0.2147,7.156
6.166642,85.57,0.2169,7.229
6.249975,85.57,0.2189,7.298
6.333308,85.57,0.2210,7.366
6.416641,85.56,0.2231,7.436
6.499974,85.56,0.2250,7.500
6.583307,85.56,0.2271,7.570
6.666640,85.56,0.2293,7.642
6.749973,85.57,0.2313,7.710
6.833306,85.56,0.2334,7.780
6.916639,85.57,0.2355,7.849
6.999972,85.59,0.2374,7.915
7.083305,85.67,0.2395,7.983
7.166638,85.84,0.2416,8.054
7.249971,86.09,0.2437,8.125
7.333304,86.48,0.2459,8.196
7.416637,87.22,0.2479,8.262
7.499970,88.53,0.2499,8.329
7.583303,90.51,0.2520,8.398
7.666636,92.91,0.2541,8.469
7.749969,95.99,-0.006857,-0.2286
7.833302,99.85,-0.004125,-0.1375
7.916635,103.5,-0.003282,-0.1094
7.999968,106.6,-0.002901,-0.09670
8.083301,109.0,-0.002661,-0.08869
8.166634,110.7,-0.002421,-0.08069
8.249967,111.2,-0.002290,-0.07634
8.333300,111.3,-0.002170,-0.07234
8.416633,111.4,-0.002100,-0.07000
8.499966,111.4,-0.002030,-0.06767
8.583299,111.4,-0.002000,-0.06667
8.666632,111.4,-0.001900,-0.06333
8.749965,111.3,-0.001870,-0.06233
8.833298,111.3,-0.001800,-0.06000
8.916631,111.3,-0.001800,-0.06000
8.999964,111.3,-0.001710,-0.05699
9.083297,111.2,-0.001700,-0.05667
9.166630,111.2,-0.001669,-0.05565
9.249963,111.2,-0.001600,-0.05333
9.333296,111.3,-0.001034,-0.03447
9.416629,111.5,-7.344E-05,-0.002448
9.499962,112.8,0.001826,0.06085
9.583295,114.9,0.003941,0.1314
9.666628,117.9,0.006052,0.2017
9.749961,121.6,0.008162,0.2721
9.833294,125.6,0.01027,0.3425
9.916627,129.4,0.01229,0.4098
9.999960,133.1,0.01430,0.4766
10.083293,136.8,0.01641,0.5470
10.166626,140.4,0.01852,0.6175
10.249959,144.0,0.02064,0.6879
10.333292,147.7,0.02268,0.7560
10.416625,151.3,0.02468,0.8227
10.499958,154.9,0.02676,0.8919
10.583291,158.5,0.02882,0.9606
10.666624,162.0,0.03096,1.032
10.749957,165.6,0.03303,1.101
10.833290,169.2,0.03513,1.171
10.916623,172.9,0.03716,1.239
10.999956,176.5,0.03923,1.308
11.083289,180.1,0.04126,1.375
11.166622,183.7,0.04337,1.446
11.249955,187.3,0.04548,1.516
11.333288,190.9,0.04760,1.587
11.416621,194.5,0.04960,1.653
11.499954,198.1,0.05160,1.720
11.583287,201.7,0.05365,1.788
11.666620,205.2,0.05576,1.859
11.749953,208.7,0.05786,1.929
11.833286,212.2,0.05997,1.999
11.916619,215.7,0.06201,2.067
11.999952,219.1,0.06398,2.133
12.083285,222.4,0.06605,2.202
12.166618,225.6,0.06817,2.272
12.249951,228.8,0.07024,2.341
12.333284,231.7,0.07234,2.411
12.416617,234.7,0.07444,2.481
12.499950,237.5,0.07644,2.548
12.583283,240.3,0.07846,2.615
12.666616,243.0,0.08058,2.686
12.749949,245.7,0.08267,2.756
12.833282,248.3,0.08478,2.826
12.916615,250.8,0.08682,2.894
12.999948,253.2,0.08887,2.962
13.083281,255.4,0.09088,3.029
13.166614,257.6,0.09297,3.099
13.249947,259.7,0.09508,3.169
13.333280,261.7,0.09719,3.240
13.416613,263.6,0.09920,3.307
13.499946,265.4,0.1013,3.376
13.583279,267.1,0.1033,3.442
13.666612,268.7,0.1053,3.511
13.749945,270.3,0.1075,3.582
13.833278,271.8,0.1095,3.651
13.916611,273.3,0.1116,3.721
13.999944,274.7,0.1136,3.788
14.083277,276.0,0.1157,3.857
14.166610,277.3,0.1178,3.927
14.249943,278.6,0.1199,3.998
14.333276,279.8,0.1219,4.065
14.416609,280.9,0.1241,4.135
14.499942,282.1,0.1262,4.205
14.583275,283.2,0.1282,4.273
14.666608,284.2,0.1302,4.340
14.749941,285.2,0.1323,4.410
14.833274,286.2,0.1344,4.480
14.916607,287.2,0.1365,4.550
14.999940,288.1,0.1385,4.618
15.083273,289.0,0.1406,4.686
15.166606,289.9,0.1426,4.753
15.249939,290.8,0.1448,4.826
15.333272,291.7,0.1468,4.893
15.416605,292.5,0.1489,4.963
15.499938,293.3,0.1510,5.034
15.583271,294.1,0.1530,5.102
15.666604,294.9,0.1551,5.168
15.749937,295.7,0.1571,5.238
15.833270,296.4,0.1593,5.309
15.916603,297.2,0.1613,5.378
15.999936,297.9,0.1634,5.446
16.083269,298.6,0.1654,5.514
16.166602,299.3,0.1675,5.584
