Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,50.08,0.5083,16.94
0.166666,50.09,0.5083,16.94
0.249999,50.09,0.5084,16.95
0.333332,50.42,0.5097,16.99
0.416665,51.67,0.5118,17.06
0.499998,53.84,0.5141,17.14
0.583331,56.84,0.5163,17.21
0.666664,60.43,0.5185,17.28
0.749997,64.32,0.5207,17.36
0.833330,67.85,0.5228,17.43
0.916663,71.04,0.5249,17.50
0.999996,73.87,0.5270,17.57
1.083329,76.51,0.5291,17.64
1.166662,78.86,0.5312,17.71
1.249995,80.80,0.5333,17.78
1.333328,82.23,0.5353,17.84
1.416661,83.19,0.5373,17.91
1.499994,83.72,0.5394,17.98
1.583327,83.95,0.5415,18.05
1.666660,84.04,0.5436,18.12
1.749993,84.09,0.5457,18.19
1.833326,84.13,0.5478,18.26
1.916659,84.16,0.5498,18.33
1.999992,84.18,0.5518,18.39
2.083325,84.21,0.5539,18.46
2.166658,84.23,0.5561,18.54
2.249991,84.26,0.5581,18.60
2.333324,84.27,0.5602,18.67
2.416657,84.29,0.5622,18.74
2.499990,84.30,0.5643,18.81
2.583323,84.30,0.5663,18.88
2.666656,84.30,0.5684,18.95
2.749989,84.29,0.5705,19.02
2.833322,84.29,0.5726,19.09
2.916655,84.29,0.5747,19.16
2.999988,84.31,0.5767,19.22
3.083321,84.38,0.5787,19.29
3.166654,84.47,0.5809,19.36
3.249987,84.56,0.5830,19.43
3.333320,84.62,0.5851,19.50
3.416653,84.61,0.5871,19.57
3.499986,84.60,0.5891,19.64
3.583319,84.59,0.5912,19.71
3.666652,84.61,0.5933,19.78
3.749985,84.66,0.5954,19.85
3.833318,84.77,0.5975,19.92
3.916651,84.84,0.5995,19.98
3.999984,84.89,0.6015,20.05
4.083317,84.94,0.6036,20.12
4.166650,84.99,0.6057,20.19
4.249983,85.03,0.6078,20.26
4.333316,85.07,0.6099,20.33
4.416649,85.12,0.6119,20.40
4.499982,85.17,0.6140,20.47
4.583315,85.20,0.6160,20.53
4.666648,85.25,0.6181,20.60
4.749981,85.31,0.6202,20.67
4.833314,85.33,0.6223,20.74
4.916647,85.34,0.6244,20.81
4.999980,85.36,0.6264,20.88
5.083313,85.36,0.6284,20.95
5.166646,85.36,0.6305,21.02
