Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,47.99,0.08310,2.770
0.166666,47.94,0.08310,2.770
0.249999,47.82,0.08310,2.770
0.333332,47.62,0.08310,2.770
0.416665,47.36,0.08310,2.770
0.499998,47.10,0.08310,2.770
0.583331,46.86,0.08310,2.770
0.666664,46.67,0.08310,2.770
0.749997,46.56,0.08310,2.770
0.833330,46.51,0.08310,2.770
0.916663,46.48,0.08310,2.770
0.999996,46.45,0.08314,2.771
1.083329,46.57,0.08388,2.796
1.166662,47.34,0.08588,2.863
1.249995,48.87,0.08809,2.936
1.333328,51.01,0.09026,3.009
1.416661,53.74,0.09246,3.082
1.499994,56.83,0.09459,3.153
1.583327,59.72,0.09678,3.226
1.666660,62.39,0.09889,3.296
1.749993,64.93,0.1010,3.366
1.833326,67.37,0.1030,3.434
1.916659,69.68,0.1051,3.502
1.999992,71.90,0.1072,3.573
2.083325,74.04,0.1093,3.643
2.166658,76.13,0.1114,3.712
2.249991,78.13,0.1135,3.783
2.333324,79.96,0.1155,3.850
2.416657,81.45,0.1175,3.918
2.499990,82.52,0.1196,3.987
2.583323,83.19,0.1217,4.056
2.666656,83.53,0.1238,4.126
2.749989,83.62,0.1259,4.196
2.833322,83.63,0.1279,4.264
2.916655,83.64,0.1299,4.331
2.999988,83.64,0.1320,4.400
3.083321,83.64,0.1341,4.469
3.166654,83.64,0.1362,4.541
3.249987,83.63,0.1383,4.610
3.333320,83.63,0.1404,4.679
3.416653,83.64,0.1423,4.744
3.499986,83.64,0.1444,4.814
3.583319,83.65,0.1465,4.885
3.666652,83.65,0.1486,4.955
3.749985,83.66,0.1507,5.023
3.833318,83.67,0.1527,5.091
3.916651,83.67,0.1548,5.160
3.999984,83.68,0.1568,5.228
4.083317,83.69,0.1589,5.298
4.166650,83.69,0.1610,5.368
4.249983,83.69,0.1631,5.437
4.333316,83.75,0.1652,5.506
4.416649,83.84,0.1672,5.574
4.499982,83.93,0.1692,5.641
