Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,53.80,0.03150,1.050
0.166666,53.35,0.03150,1.050
0.249999,52.42,0.03150,1.050
0.333332,51.45,0.03150,1.050
0.416665,50.41,0.03150,1.050
0.499998,49.43,0.03150,1.050
0.583331,48.95,0.03150,1.050
0.666664,48.91,0.03150,1.050
0.749997,48.90,0.03150,1.050
0.833330,48.89,0.03150,1.050
0.916663,48.87,0.03150,1.050
0.999996,48.86,0.03159,1.053
1.083329,49.08,0.03289,1.096
1.166662,50.13,0.03515,1.172
1.249995,52.06,0.03737,1.246
1.333328,54.50,0.03959,1.320
1.416661,57.46,0.04173,1.391
1.499994,60.53,0.04383,1.461
1.583327,63.23,0.04587,1.529
1.666660,65.61,0.04816,1.605
1.749993,67.88,0.05021,1.674
1.833326,70.13,0.05234,1.745
1.916659,72.37,0.05438,1.813
1.999992,74.53,0.05636,1.879
2.083325,76.56,0.05841,1.947
2.166658,78.46,0.06059,2.020
2.249991,80.01,0.06268,2.089
2.333324,81.18,0.06478,2.159
2.416657,81.96,0.06690,2.230
2.499990,82.40,0.06886,2.295
2.583323,82.51,0.07084,2.361
2.666656,82.52,0.07301,2.434
2.749989,82.53,0.07510,2.503
2.833322,82.54,0.07725,2.575
2.916655,82.55,0.07930,2.643
2.999988,82.56,0.08131,2.710
3.083321,82.58,0.08334,2.778
3.166654,82.59,0.08545,2.848
3.249987,82.61,0.08755,2.918
3.333320,82.61,0.08968,2.989
3.416653,82.62,0.09178,3.059
3.499986,82.62,0.09376,3.125
3.583319,82.63,0.09581,3.194
3.666652,82.63,0.09793,3.264
3.749985,82.63,0.1000,3.334
3.833318,82.64,0.1021,3.405
3.916651,82.65,0.1042,3.474
3.999984,82.67,0.1062,3.541
4.083317,82.71,0.1083,3.610
4.166650,82.78,0.1103,3.678
4.249983,82.87,0.1124,3.746
4.333316,82.96,0.1145,3.817
4.416649,83.04,0.1166,3.886
4.499982,83.10,0.1186,3.955
4.583315,83.11,0.1207,4.023
4.666648,83.11,0.1227,4.091
4.749981,83.11,0.1249,4.163
4.833314,83.11,0.1269,4.231
4.916647,83.13,0.1290,4.301
4.999980,83.14,0.1311,4.371
5.083313,83.18,0.1332,4.439
5.166646,83.22,0.1352,4.506
5.249979,83.27,0.1373,4.576
5.333312,83.34,0.1393,4.645
5.416645,83.41,0.1415,4.716
5.499978,83.48,0.1435,4.784
5.583311,83.53,0.1456,4.853
5.666644,83.57,0.1476,4.921
5.749977,83.59,0.1497,4.989
5.833310,83.59,0.1518,5.059
5.916643,83.59,0.1539,5.129
5.999976,83.59,0.1559,5.198
6.083309,83.60,0.1580,5.267
6.166642,83.60,0.1600,5.334
6.249975,83.60,0.1621,5.403
6.333308,83.61,0.1642,5.474
6.416641,83.61,0.1663,5.543
6.499974,83.61,0.1683,5.611
6.583307,83.61,0.1705,5.682
6.666640,83.61,0.1724,5.747
6.749973,83.60,0.1745,5.817
6.833306,83.59,0.1766,5.887
6.916639,83.59,0.1787,5.956
6.999972,83.58,0.1808,6.025
7.083305,83.57,0.1829,6.095
7.166638,83.57,0.1848,6.162
7.249971,83.56,0.1870,6.232
7.333304,83.56,0.1890,6.301
7.416637,83.56,0.1911,6.370
7.499970,83.56,0.1932,6.440
7.583303,83.57,0.1953,6.509
7.666636,83.59,0.1973,6.577
7.749969,83.72,0.1994,6.645
7.833302,84.27,0.2015,6.716
7.916635,85.37,0.2036,6.786
7.999968,87.01,0.2057,6.857
8.083301,89.16,0.2078,6.925
8.166634,91.76,0.2096,6.987
8.249967,94.43,-0.008723,-0.2908
8.333300,97.80,-0.003780,-0.1260
8.416633,101.5,-0.002214,-0.07379
8.499966,104.8,-0.001873,-0.06242
8.583299,107.6,-0.001616,-0.05386
8.666632,109.9,-0.001445,-0.04818
8.749965,110.9,-0.001300,-0.04333
8.833298,111.1,-0.001204,-0.04015
8.916631,111.2,-0.001100,-0.03667
8.999964,111.3,-0.001056,-0.03520
9.083297,111.4,-0.0009930,-0.03310
9.166630,111.4,-0.0009000,-0.03000
9.249963,111.4,-0.0009000,-0.03000
9.333296,111.5,-0.0008000,-0.02667
9.416629,111.5,-0.0008000,-0.02667
9.499962,111.5,-0.0008000,-0.02667
9.583295,111.5,-0.0007000,-0.02333
9.666628,111.5,-0.0007000,-0.02333
9.749961,111.5,-0.0007000,-0.02333
9.833294,111.5,-0.0002055,-0.006851
9.916627,111.8,0.001204,0.04013
9.999960,113.0,0.003233,0.1078
10.083293,114.8,0.005296,0.1765
10.166626,117.2,0.007434,0.2478
10.249959,120.3,0.009475,0.3158
