Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,57.88,0.07360,2.453
0.166666,57.89,0.07360,2.453
0.249999,57.93,0.07366,2.455
0.333332,58.14,0.07460,2.487
0.416665,59.03,0.07662,2.554
0.499998,61.05,0.07886,2.629
0.583331,63.79,0.08097,2.699
0.666664,67.03,0.08321,2.774
0.749997,70.46,0.08542,2.847
0.833330,73.44,0.08757,2.919
0.916663,75.84,0.08962,2.987
0.999996,78.01,0.09174,3.058
1.083329,79.87,0.09379,3.126
1.166662,81.28,0.09595,3.198
1.249995,82.34,0.09811,3.270
1.333328,82.90,0.1001,3.336
1.416661,82.99,0.1022,3.407
1.499994,82.94,0.1043,3.476
1.583327,82.99,0.1063,3.543
1.666660,83.10,0.1083,3.610
1.749993,83.18,0.1104,3.681
1.833326,83.20,0.1125,3.752
1.916659,83.20,0.1146,3.821
1.999992,83.21,0.1167,3.890
2.083325,83.21,0.1187,3.955
2.166658,83.22,0.1208,4.025
2.249991,83.23,0.1228,4.094
2.333324,83.24,0.1250,4.165
2.416657,83.24,0.1270,4.234
2.499990,83.24,0.1291,4.303
2.583323,83.23,0.1311,4.369
2.666656,83.21,0.1332,4.438
2.749989,83.19,0.1352,4.507
2.833322,83.17,0.1373,4.578
2.916655,83.16,0.1394,4.648
2.999988,83.13,0.1415,4.716
3.083321,83.11,0.1436,4.786
3.166654,83.09,0.1455,4.851
3.249987,83.09,0.1476,4.921
3.333320,83.15,0.1498,4.993
3.416653,83.24,0.1519,5.064
3.499986,83.34,0.1540,5.132
3.583319,83.46,0.1560,5.200
3.666652,83.59,0.1580,5.267
3.749985,83.68,0.1600,5.335
3.833318,83.78,0.1622,5.406
3.916651,83.88,0.1643,5.477
3.999984,83.97,0.1664,5.548
4.083317,84.03,0.1684,5.615
4.166650,84.07,0.1704,5.681
4.249983,84.09,0.1724,5.748
4.333316,84.09,0.1746,5.821
4.416649,84.09,0.1767,5.891
4.499982,84.09,0.1788,5.961
4.583315,84.09,0.1809,6.029
4.666648,84.09,0.1829,6.096
4.749981,84.09,0.1849,6.164
4.833314,84.10,0.1870,6.233
4.916647,84.11,0.1892,6.305
4.999980,84.12,0.1913,6.376
5.083313,84.13,0.1933,6.445
5.166646,84.14,0.1954,6.512
5.249979,84.15,0.1974,6.579
5.333312,84.15,0.1995,6.649
5.416645,84.15,0.2016,6.719
5.499978,84.16,0.2037,6.789
5.583311,84.16,0.2057,6.857
5.666644,84.15,0.2078,6.926
5.749977,84.14,0.2098,6.993
5.833310,84.13,0.2119,7.062
5.916643,84.11,0.2139,7.131
5.999976,84.10,0.2161,7.202
6.083309,84.09,0.2182,7.273
6.166642,84.12,0.2202,7.340
6.249975,84.18,0.2222,7.407
6.333308,84.31,0.2243,7.477
6.416641,84.54,0.2264,7.547
6.499974,85.08,0.2285,7.616
6.583307,86.04,0.2306,7.686
6.666640,87.42,0.2326,7.754
6.749973,89.18,0.2346,7.822
6.833306,91.28,0.2367,7.889
6.916639,93.51,-0.01302,-0.4340
6.999972,96.09,-0.009254,-0.3085
7.083305,99.41,-0.005068,-0.1689
7.166638,102.8,-0.003661,-0.1220
7.249971,105.8,-0.002808,-0.09360
7.333304,108.4,-0.002617,-0.08723
7.416637,110.1,-0.002224,-0.07413
7.499970,110.7,-0.001978,-0.06595
7.583303,110.8,-0.001813,-0.06045
7.666636,111.0,-0.001674,-0.05582
7.749969,111.0,-0.001400,-0.04667
7.833302,111.0,-0.001295,-0.04318
7.916635,111.1,-0.001200,-0.04000
