Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,58.04,0.09020,3.007
0.166666,57.94,0.09020,3.007
0.249999,57.76,0.09020,3.007
0.333332,57.53,0.09020,3.007
0.416665,57.23,0.09020,3.007
0.499998,56.96,0.09020,3.007
0.583331,56.66,0.09020,3.007
0.666664,56.49,0.09020,3.007
0.749997,56.38,0.09020,3.007
0.833330,56.39,0.09020,3.007
0.916663,56.46,0.09020,3.007
0.999996,56.71,0.09057,3.019
1.083329,57.53,0.09242,3.081
1.166662,59.07,0.09465,3.155
1.249995,61.24,0.09693,3.231
1.333328,63.98,0.09913,3.304
1.416661,67.14,0.1013,3.378
1.499994,70.14,0.1035,3.449
1.583327,72.88,0.1056,3.518
1.666660,75.27,0.1076,3.587
1.749993,77.40,0.1097,3.658
1.833326,79.15,0.1119,3.729
1.916659,80.54,0.1140,3.800
1.999992,81.47,0.1160,3.867
2.083325,82.19,0.1181,3.936
2.166658,82.57,0.1201,4.004
2.249991,82.81,0.1222,4.074
2.333324,82.98,0.1243,4.145
2.416657,83.08,0.1264,4.214
2.499990,83.10,0.1285,4.282
2.583323,83.12,0.1305,4.351
2.666656,83.13,0.1325,4.418
2.749989,83.14,0.1347,4.489
2.833322,83.15,0.1368,4.560
2.916655,83.16,0.1388,4.627
2.999988,83.16,0.1409,4.697
3.083321,83.17,0.1430,4.766
3.166654,83.17,0.1450,4.833
3.249987,83.17,0.1470,4.902
3.333320,83.18,0.1492,4.975
3.416653,83.18,0.1513,5.042
3.499986,83.18,0.1533,5.111
3.583319,83.18,0.1554,5.181
3.666652,83.18,0.1574,5.247
3.749985,83.21,0.1595,5.317
3.833318,83.28,0.1616,5.387
3.916651,83.37,0.1637,5.457
3.999984,83.46,0.1657,5.524
4.083317,83.55,0.1678,5.594
4.166650,83.61,0.1698,5.660
4.249983,83.62,0.1719,5.728
4.333316,83.63,0.1740,5.801
4.416649,83.64,0.1761,5.869
4.499982,83.65,0.1782,5.939
4.583315,83.67,0.1803,6.008
4.666648,83.69,0.1822,6.075
4.749981,83.72,0.1843,6.144
4.833314,83.75,0.1864,6.214
4.916647,83.81,0.1885,6.284
4.999980,83.88,0.1906,6.355
5.083313,83.97,0.1927,6.423
5.166646,84.06,0.1947,6.490
5.249979,84.12,0.1968,6.559
5.333312,84.17,0.1988,6.627
5.416645,84.19,0.2010,6.699
5.499978,84.19,0.2031,6.769
5.583311,84.19,0.2052,6.838
5.666644,84.19,0.2071,6.905
5.749977,84.19,0.2091,6.971
5.833310,84.19,0.2112,7.041
5.916643,84.18,0.2133,7.111
5.999976,84.18,0.2155,7.182
6.083309,84.18,0.2176,7.252
6.166642,84.18,0.2196,7.320
6.249975,84.17,0.2216,7.386
6.333308,84.16,0.2237,7.456
6.416641,84.16,0.2258,7.527
6.499974,84.15,0.2279,7.596
6.583307,84.15,0.2299,7.665
6.666640,84.15,0.2320,7.734
6.749973,84.15,0.2340,7.801
6.833306,84.18,0.2361,7.870
6.916639,84.24,0.2382,7.938
6.999972,84.33,0.2403,8.009
7.083305,84.46,0.2424,8.079
7.166638,84.66,0.2445,8.149
7.249971,84.94,0.2465,8.217
7.333304,85.35,0.2485,8.284
7.416637,86.06,0.2506,8.354
7.499970,87.31,0.2527,8.424
7.583303,89.14,0.2548,8.494
7.666636,91.67,0.2569,8.565
7.749969,94.43,0.2590,8.635
7.833302,98.06,-0.004303,-0.1434
7.916635,101.7,-0.002937,-0.09792
7.999968,104.9,-0.002447,-0.08157
8.083301,107.5,-0.002092,-0.06973
8.166634,109.4,-0.001825,-0.06082
8.249967,110.4,-0.001627,-0.05424
8.333300,110.7,-0.001475,-0.04918
8.416633,110.9,-0.001357,-0.04523
8.499966,111.0,-0.001239,-0.04129
8.583299,111.0,-0.001200,-0.04000
8.666632,111.1,-0.001102,-0.03673
8.749965,111.1,-0.001083,-0.03611
8.833298,111.1,-0.001000,-0.03333
8.916631,111.1,-0.0009466,-0.03155
8.999964,111.1,-0.0009000,-0.03000
9.083297,111.1,-0.0009000,-0.03000
9.166630,111.1,-0.0008000,-0.02667
9.249963,111.1,-0.0008000,-0.02667
9.333296,111.1,-0.0007546,-0.02515
