0.00,50.43,0.00
0.09,51.09,0.00
0.19,51.74,0.00
0.28,52.44,0.00
0.38,53.20,0.01
0.47,53.95,0.01
0.56,54.67,0.01
0.66,55.39,0.01
0.75,56.06,0.01
0.84,56.65,0.01
0.94,57.24,0.01
1.03,57.73,0.02
1.13,58.20,0.02
1.22,58.66,0.02
1.31,59.09,0.02
1.41,59.51,0.02
1.50,59.92,0.02
1.59,60.33,0.02
1.69,60.72,0.02
1.78,61.08,0.02
1.88,61.44,0.02
1.97,61.80,0.02
2.06,62.15,0.02
2.16,62.49,0.03
2.25,62.81,0.03
2.34,63.12,0.03
2.44,63.41,0.03
2.53,63.67,0.03
2.63,63.93,0.03
2.72,64.20,0.03
2.81,64.47,0.03
2.91,64.75,0.03
3.00,65.05,0.03
3.09,65.35,0.03
3.19,65.61,0.03
3.28,65.86,0.03
3.38,66.11,0.03
3.47,66.35,0.03
3.56,66.59,0.03
3.66,66.87,0.03
3.75,67.16,0.03
3.84,67.45,0.03
3.94,67.71,0.04
4.03,67.97,0.03
4.13,68.23,0.04
4.22,68.49,0.04
4.31,68.76,0.04
4.41,69.05,0.04
4.50,69.34,0.04
4.60,69.64,0.04
4.69,69.96,0.04
4.78,70.28,0.04
4.88,70.57,0.04
4.97,70.87,0.04
5.06,71.17,0.04
5.16,71.47,0.04
5.25,71.78,0.04
5.35,72.13,0.05
5.44,72.47,0.05
5.53,72.81,0.05
5.63,73.14,0.05
5.72,73.47,0.05
5.81,73.76,0.05
5.91,74.06,0.05
6.00,74.36,0.05
6.10,74.70,0.05
6.19,75.05,0.05
6.28,75.37,0.05
6.38,75.68,0.05
6.47,75.99,0.05
6.56,76.28,0.05
6.66,76.57,0.05
6.75,76.88,0.05
6.85,77.19,0.05
6.94,77.50,0.06
7.03,77.80,0.06
7.13,78.09,0.06
7.22,78.36,0.06
7.31,78.62,0.06
7.41,78.88,0.06
7.50,79.09,0.06
7.60,79.30,0.06
7.69,79.55,0.06
7.78,79.86,0.06
7.88,80.17,0.06
7.97,80.47,0.06
8.06,80.76,0.06
8.16,81.03,0.06
8.25,81.26,0.07
8.35,81.48,0.07
8.44,81.62,0.07
