0,52.27,0
0.08,52.47,0
0.17,52.68,0.01
0.25,53.07,0.01
0.34,53.58,0.01
0.42,54.11,0.01
0.5,54.71,0.01
0.59,55.31,0.01
0.67,55.87,0.01
0.76,56.42,0.01
0.84,56.93,0.02
0.92,57.39,0.02
1.01,57.85,0.01
1.09,58.21,0.02
1.18,58.57,0.02
1.26,58.89,0.02
1.34,59.18,0.02
1.43,59.47,0.02
1.51,59.74,0.02
1.6,60.02,0.02
1.68,60.3,0.02
1.76,60.58,0.02
1.85,60.86,0.02
1.93,61.13,0.03
2.02,61.41,0.02
2.1,61.67,0.02
2.18,61.94,0.03
2.27,62.22,0.03
2.35,62.51,0.03
2.44,62.79,0.03
2.52,63.06,0.03
2.6,63.34,0.03
2.69,63.62,0.03
2.77,63.89,0.03
2.86,64.17,0.03
2.94,64.46,0.03
3.02,64.74,0.03
3.11,65.02,0.03
3.19,65.29,0.04
3.28,65.56,0.04
3.36,65.81,0.04
3.44,66.07,0.04
3.53,66.32,0.04
3.61,66.56,0.04
3.7,66.82,0.04
3.78,67.07,0.04
3.86,67.34,0.04
3.95,67.6,0.04
4.03,67.87,0.05
4.12,68.11,0.04
4.2,68.35,0.05
4.28,68.59,0.04
4.37,68.84,0.05
4.45,69.09,0.05
4.54,69.35,0.05
4.62,69.61,0.05
4.7,69.84,0.05
4.79,70.07,0.05
4.87,70.3,0.05
4.96,70.53,0.05
5.04,70.76,0.05
5.12,71,0.05
5.21,71.23,0.05
5.29,71.48,0.06
5.38,71.72,0.06
5.46,71.96,0.06
5.54,72.21,0.06
5.63,72.46,0.06
5.71,72.69,0.06
5.8,72.92,0.06
5.88,73.15,0.06
5.96,73.39,0.06
6.05,73.63,0.06
6.13,73.87,0.06
6.22,74.11,0.06
6.3,74.33,0.07
6.38,74.56,0.07
6.47,74.78,0.07
6.55,74.99,0.07
6.64,75.19,0.07
6.72,75.38,0.07
6.8,75.58,0.07
6.89,75.76,0.07
6.97,75.94,0.07
7.06,76.14,0.07
7.14,76.38,0.07
7.22,76.63,0.07
7.31,76.88,0.07
7.39,77.14,0.07
7.48,77.37,0.08
7.56,77.59,0.07
7.64,77.82,0.07
7.73,78.03,0.08
7.81,78.24,0.07
7.9,78.43,0.08
7.98,78.62,0.08
8.06,78.8,0.08
8.15,78.98,0.08
8.23,79.16,0.08
8.32,79.36,0.08
8.4,79.56,0.08
8.48,79.78,0.08
8.57,80,0.08
8.65,80.22,0.08
8.74,80.41,0.08
8.82,80.61,0.08
8.9,80.82,0.08
8.99,81.04,0.09
9.07,81.28,0.09
9.16,81.55,0.09
9.24,81.82,0.09
9.32,82.06,0.09
9.41,82.3,0.09
9.49,82.51,0.09
9.58,82.72,0.09
9.66,82.92,0.09
9.74,83.11,0.09
9.83,83.3,0.09
9.91,83.49,0.09
10,83.7,0.09
10.08,83.9,0.1
10.16,84.12,0.09
10.25,84.34,0.09
10.33,84.51,0.09
10.42,84.68,0.1
10.5,84.84,0.1
10.58,84.99,0.1
10.67,85.15,0.1
10.75,85.34,0.1
10.84,85.52,0.1
