Specimen Width: 1.0mm, Specimen Height: 1.0mm, Gauge Length: 3.0mm, Strain Rate: 1500.0 µm/min, Pretension Load: 80.0N
time,distance,load,stress,strain
0.04161214828491211,0.0010397613048553466,73.8237074586207,73.8237074586207,0.0003465871016184489
0.06629133224487305,0.0016568243503570558,73.8237074586207,73.8237074586207,0.0005522747834523519
0.09959983825683594,0.002489560842514038,73.9376056586207,73.9376056586207,0.000829853614171346
0.1328568458557129,0.0033208668231964112,74.9626894586207,74.9626894586207,0.0011069556077321371
0.16611266136169434,0.004152345657348633,77.4684498586207,77.4684498586207,0.001384115219116211
0.19971752166748047,0.0049925029277801515,79.2908210586207,79.2908210586207,0.001664167642593384
0.23360037803649902,0.005839496850967407,80.8853958586207,80.8853958586207,0.001946498950322469
0.26653003692626953,0.006662857532501221,82.5938688586207,82.5938688586207,0.0022209525108337403
0.29975271224975586,0.007493311166763306,84.1884436586207,84.1884436586207,0.002497770388921102
0.33301353454589844,0.008324885368347168,84.9857310586207,84.9857310586207,0.002774961789449056
0.36638379096984863,0.009158903360366821,85.5552220586207,85.5552220586207,0.00305296778678894
0.40248894691467285,0.010061389207839966,86.9220004586207,86.9220004586207,0.003353796402613322
0.43401098251342773,0.010849684476852417,87.7192878586207,87.7192878586207,0.003616561492284139
0.4667501449584961,0.011668235063552856,88.7443716586207,88.7443716586207,0.003889411687850952
0.5002343654632568,0.012505412101745605,89.5416590586207,89.5416590586207,0.004168470700581868
0.5334055423736572,0.013334673643112183,90.2250482586207,90.2250482586207,0.004444891214370728
0.5664668083190918,0.014161068201065065,91.1362338586207,91.1362338586207,0.004720356067021688
0.5999279022216797,0.01499767303466797,92.1613176586207,92.1613176586207,0.004999224344889323
0.6333489418029785,0.015833181142807008,93.0725032586207,93.0725032586207,0.0052777270476023356
0.6669096946716309,0.016672271490097045,93.75589245862069,93.75589245862069,0.005557423830032348
0.6999654769897461,0.017498672008514404,94.5531798586207,94.5531798586207,0.005832890669504802
0.7328958511352539,0.018321794271469117,95.6921618586207,95.6921618586207,0.006107264757156373
0.766077995300293,0.019151490926742554,96.7172456586207,96.7172456586207,0.006383830308914185
0.7992041110992432,0.01997950077056885,97.5145330586207,97.5145330586207,0.006659833590189616
0.832465648651123,0.02081122398376465,97.9701258586207,97.9701258586207,0.006937074661254883
0.8657073974609375,0.021642309427261353,98.9952096586207,98.9952096586207,0.007214103142420451
0.8990557193756104,0.022475898265838623,100.4758862586207,100.4758862586207,0.007491966088612874
0.9324305057525635,0.023310101032257082,101.27317365862069,101.27317365862069,0.007770033677419027
0.965623140335083,0.02414005994796753,102.0704610586207,102.0704610586207,0.00804668664932251
0.998943567276001,0.024973082542419436,102.7538502586207,102.7538502586207,0.008324360847473145
1.0323114395141602,0.025807344913482667,103.8928322586207,103.8928322586207,0.008602448304494222
1.0655567646026611,0.026638501882553102,105.0318142586207,105.0318142586207,0.008879500627517701
1.0988898277282715,0.027471846342086794,105.71520345862069,105.71520345862069,0.009157282114028931
1.1320664882659912,0.028301078081130984,106.3985926586207,106.3985926586207,0.009433692693710327
1.1658201217651367,0.02914475202560425,107.3097782586207,107.3097782586207,0.009714917341868084
1.198685646057129,0.02996655106544495,108.4487602586207,108.4487602586207,0.009988850355148316
1.2372748851776123,0.030931371450424197,109.5877422586207,109.5877422586207,0.0103104571501414
1.269026756286621,0.031725138425827026,110.3850296586207,110.3850296586207,0.010575046141942343
1.3030619621276855,0.032575595378875735,110.8406224586207,110.8406224586207,0.010858531792958578
1.334505319595337,0.03336204886436463,112.0935026586207,112.0935026586207,0.011120682954788208
1.3670289516448975,0.034175270795822145,113.0046882586207,113.0046882586207,0.011391756931940715
1.4007558822631836,0.035018354654312134,114.1436702586207,114.1436702586207,0.011672784884770712
1.433629035949707,0.035840189456939696,114.8270594586207,114.8270594586207,0.0119467298189799
1.4656531810760498,0.03664081692695618,115.6243468586207,115.6243468586207,0.012213605642318727
1.5000638961791992,0.03750079870223999,116.87722705862069,116.87722705862069,0.012500266234079996
1.5337398052215576,0.03834307789802552,118.13010725862068,118.13010725862068,0.012781025966008506
1.5670082569122314,0.03917477130889893,118.81349645862069,118.81349645862069,0.013058257102966311
1.5995407104492188,0.03998802304267884,119.61078385862069,119.61078385862069,0.01332934101422628
1.635221004486084,0.04087996482849121,120.74976585862069,120.74976585862069,0.013626654942830404
1.6675724983215332,0.04168860912322998,121.77484965862068,121.77484965862068,0.01389620304107666
1.7004890441894531,0.042510735988616946,122.68603525862069,122.68603525862069,0.014170245329538983
1.7318596839904785,0.04329594373703003,123.59722085862069,123.59722085862069,0.014431981245676677
1.7652015686035156,0.044129556417465216,124.28061005862068,124.28061005862068,0.014709852139155072
1.798478364944458,0.04496138095855713,125.30569385862069,125.30569385862069,0.014987126986185711
1.8320693969726562,0.04580100178718567,126.55857405862069,126.55857405862069,0.015267000595728558
1.8651752471923828,0.0466286838054657,127.35586145862068,127.35586145862068,0.0155428946018219
1.8983421325683594,0.04745803475379944,128.15314885862068,128.15314885862068,0.01581934491793315
1.9316773414611816,0.04829139709472657,129.0643344586207,129.0643344586207,0.016097132364908857
1.9660768508911133,0.0491511344909668,130.31721465862068,130.31721465862068,0.016383711496988935
1.9982905387878418,0.049956667423248294,131.3422984586207,131.3422984586207,0.016652222474416098
2.031653642654419,0.050790739059448246,132.13958585862068,132.13958585862068,0.016930246353149415
2.0649378299713135,0.05162298083305359,132.8229750586207,132.8229750586207,0.01720766027768453
2.0983009338378906,0.05245684385299683,133.6202624586207,133.6202624586207,0.01748561461766561
