Specimen Width: 1.0mm, Specimen Height: 1.0mm, Gauge Length: 3.0mm, Strain Rate: 1500.0 µm/min, Pretension Load: 80.0N
time,distance,load,stress,strain
0.04219222068786621,0.0010543763637542725,75.63822361034484,75.63822361034484,0.0003514587879180908
0.06630182266235352,0.0016570210456848145,75.86602001034483,75.86602001034483,0.0005523403485616048
0.09955835342407227,0.0024885654449462893,75.75212181034483,75.75212181034483,0.0008295218149820964
0.1329326629638672,0.003322798013687134,77.57449301034484,77.57449301034484,0.0011075993378957113
0.16624784469604492,0.00415576696395874,78.82737321034483,78.82737321034483,0.0013852556546529134
0.19983434677124023,0.004995387792587281,81.78872641034484,81.78872641034484,0.0016651292641957603
0.23308277130126953,0.005826574563980103,83.49719941034483,83.49719941034483,0.001942191521326701
0.26630520820617676,0.006657141447067261,84.97787601034483,84.97787601034483,0.0022190471490224203
0.2997143268585205,0.007492363452911377,86.68634901034483,86.68634901034483,0.0024974544843037925
0.3329150676727295,0.008322465419769288,88.28092381034483,88.28092381034483,0.002774155139923096
0.36620569229125977,0.009154713153839112,89.19210941034483,89.19210941034483,0.003051571051279704
0.3997030258178711,0.009991276264190675,90.10329501034484,90.10329501034484,0.0033304254213968915
0.4329714775085449,0.010823857784271241,90.90058241034484,90.90058241034484,0.00360795259475708
0.46621179580688477,0.011654698848724367,92.38125901034483,92.38125901034483,0.0038848996162414557
0.4995906352996826,0.01248931884765625,93.74803741034484,93.74803741034484,0.004163106282552083
0.532689094543457,0.013316816091537476,94.77312121034484,94.77312121034484,0.004438938697179159
0.5660605430603027,0.014150965213775636,95.68430681034484,95.68430681034484,0.004716988404591878
0.599306583404541,0.014982259273529053,96.25379781034484,96.25379781034484,0.004994086424509684
0.6328332424163818,0.015819799900054932,97.62057621034484,97.62057621034484,0.005273266633351644
0.6660964488983154,0.016651564836502077,98.87345641034483,98.87345641034483,0.005550521612167359
0.6993653774261475,0.017483234405517578,99.89854021034483,99.89854021034483,0.005827744801839192
0.7326586246490479,0.018316054344177247,100.80972581034483,100.80972581034483,0.006105351448059082
0.7658519744873047,0.019145888090133668,102.17650421034483,102.17650421034483,0.006381962696711222
0.7991366386413574,0.019977992773056032,103.20158801034484,103.20158801034484,0.0066593309243520105
0.8323872089385986,0.020809274911880494,104.68226461034483,104.68226461034483,0.006936424970626832
0.8656942844390869,0.02164157032966614,105.59345021034484,105.59345021034484,0.00721385677655538
0.8989310264587402,0.022472459077835086,106.39073761034483,106.39073761034483,0.0074908196926116956
0.9323673248291016,0.02330829501152039,107.87141421034484,107.87141421034484,0.007769431670506796
0.9659857749938965,0.024148160219192506,109.23819261034484,109.23819261034484,0.008049386739730836
0.9987630844116211,0.024968653917312622,110.49107281034483,110.49107281034483,0.008322884639104208
1.0319874286651611,0.025799232721328738,111.40225841034483,111.40225841034483,0.008599744240442913
1.0652875900268555,0.02663179636001587,112.42734221034483,112.42734221034483,0.008877265453338624
1.098466396331787,0.027461153268814088,114.59140801034484,114.59140801034484,0.009153717756271362
1.1319162845611572,0.02829742431640625,115.61649181034484,115.61649181034484,0.009432474772135416
1.165116310119629,0.02912736535072327,116.64157561034482,116.64157561034482,0.009709121783574423
1.198472499847412,0.02996143102645874,117.66665941034482,117.66665941034482,0.009987143675486247
1.2317588329315186,0.03079324960708618,119.03343781034482,119.03343781034482,0.010264416535695394
1.2649545669555664,0.031623351573944095,120.62801261034483,120.62801261034483,0.010541117191314698
1.2983460426330566,0.032458096742630005,121.88089281034482,121.88089281034482,0.010819365580876669
1.3316090106964111,0.033289682865142826,122.90597661034482,122.90597661034482,0.011096560955047609
1.3650615215301514,0.034126007556915285,124.04495861034482,124.04495861034482,0.011375335852305095
1.3984389305114746,0.034960520267486576,125.86732981034483,125.86732981034483,0.011653506755828859
1.4319067001342773,0.035797041654586796,127.57580281034483,127.57580281034483,0.011932347218195598
1.4660289287567139,0.03664976954460144,128.7147848103448,128.7147848103448,0.01221658984820048
1.4989099502563477,0.0374722421169281,129.96766501034483,129.96766501034483,0.012490747372309367
1.5321855545043945,0.038303828239440924,131.10664701034483,131.10664701034483,0.012767942746480307
1.5653319358825684,0.03913279175758362,133.61240741034482,133.61240741034482,0.01304426391919454
1.5987567901611328,0.0399683952331543,134.7513894103448,134.7513894103448,0.013322798411051433
1.6320321559906006,0.040800279378891,136.11816781034483,136.11816781034483,0.013600093126297
1.6652381420135498,0.04163014888763428,137.37104801034482,137.37104801034482,0.013876716295878092
1.699080228805542,0.04247658252716065,139.07952101034482,139.07952101034482,0.014158860842386883
1.732356309890747,0.0433083176612854,140.9018922103448,140.9018922103448,0.014436105887095133
1.7655577659606934,0.04413852691650391,142.38256881034482,142.38256881034482,0.014712842305501303
1.7989647388458252,0.0449736773967743,143.52155081034482,143.52155081034482,0.014991225798924765
1.8322014808654785,0.04580461382865906,145.3439220103448,145.3439220103448,0.01526820460955302
1.8655173778533936,0.046637517213821415,146.59680221034483,146.59680221034483,0.015545839071273805
1.898805856704712,0.047469669580459596,148.53307161034482,148.53307161034482,0.015823223193486533
1.9321517944335938,0.04830310940742493,149.89985001034484,149.89985001034484,0.016101036469141645
1.9659416675567627,0.04914782047271729,151.26662841034482,151.26662841034482,0.016382606824239098
1.9987332820892334,0.049967944622039795,153.20289781034484,153.20289781034484,0.01665598154067993
2.031989574432373,0.05079935193061829,154.7974726103448,154.7974726103448,0.016933117310206098
2.0653324127197266,0.05163264870643616,156.5059456103448,156.5059456103448,0.017210882902145386
2.098605155944824,0.05246458053588868,157.98662221034482,157.98662221034482,0.01748819351196289
